date,post_count,ili_case
2023-08-07,6,967.0
2023-08-14,16,0.0
2023-08-21,37,7130.0
2023-08-28,47,21785.0
2023-09-04,40,0.0
2023-09-11,60,5975.0
2023-09-18,106,4793.0
2023-09-25,124,7255.0
2023-10-02,176,47538.0
2023-10-09,192,4998.0
2023-10-16,292,6751.0
2023-10-23,367,28351.0
2023-10-30,226,6808.0
2023-11-06,236,44343.0
2023-11-13,195,8722.0
2023-11-20,202,14177.0
2023-11-27,218,74454.0
2023-12-04,244,18462.0
2023-12-11,196,89038.0
2023-12-18,179,22434.0
2023-12-25,137,16545.0
2024-01-01,139,12568.0
2024-01-08,159,9255.0
2024-01-15,89,20998.0
2024-01-22,82,131259.0
2024-01-29,117,128679.0
2024-02-05,102,33941.0
2024-02-12,52,18301.0
2024-02-19,56,14714.0
2024-02-26,55,47391.0
2024-03-04,47,38574.0
2024-03-11,50,8086.0
2024-03-18,44,6988.0
2024-03-25,44,3306.0
2024-04-01,40,19670.0
2024-04-08,35,17805.0
2024-04-15,68,5326.0
2024-07-29,31,1208.0
2024-08-05,45,393.0
2024-08-12,46,2042.0
2024-08-19,34,17106.0
2024-08-26,42,17530.0
2024-09-02,37,21357.0
2024-09-09,56,34258.0
2024-09-16,43,9318.0
2024-09-23,64,58803.0
2024-09-30,66,6950.0
2024-10-07,70,45332.0
2024-10-14,97,7155.0
2024-10-21,85,7498.0
2024-10-28,90,23639.0
2024-11-04,132,25714.0
2024-11-11,249,31143.0
2024-11-18,469,12964.0
2024-11-25,397,13754.0
2024-12-02,366,57171.0
2024-12-09,475,70119.0
2024-12-16,482,31285.0
2024-12-23,469,35400.0
2024-12-30,471,35176.0
2025-01-06,778,257247.0
2025-01-13,773,252772.0
2025-01-20,836,350043.0
2025-01-27,827,334395.0
2025-02-03,659,273519.0
2025-02-10,602,121472.0
2025-02-17,437,23331.0
2025-02-24,364,9016.0
2025-03-03,297,38792.0
2025-03-10,273,6225.0
2025-03-17,343,31496.0
2025-03-24,242,6954.0
