period_start,post_count
2022-01-04,1
2022-01-10,1
2022-01-12,2
2022-01-14,4
2022-01-15,1
2022-01-18,1
2022-01-19,1
2022-01-20,1
2022-01-21,1
2022-01-27,1
2022-01-31,1
2022-02-02,1
2022-02-03,2
2022-02-06,2
2022-02-08,1
2022-02-11,2
2022-02-15,1
2022-02-24,1
2022-03-03,1
2022-03-11,1
2022-03-15,2
2022-03-22,1
2022-03-23,1
2022-03-29,1
2022-03-30,2
2022-04-15,1
2022-04-20,1
2022-04-29,2
2022-05-06,1
2022-05-20,2
2022-05-27,4
2022-06-01,1
2022-06-08,1
2022-06-09,1
2022-06-11,1
2022-06-21,1
2022-07-05,2
2022-07-15,1
2022-07-18,1
2022-08-02,1
2022-08-04,1
2022-08-20,1
2022-08-24,1
2022-08-26,1
2022-08-29,1
2022-08-31,2
2022-09-16,1
2022-10-04,2
2022-10-07,1
2022-10-10,1
2022-10-11,1
2022-10-12,1
2022-10-15,1
2022-10-24,1
2022-10-25,1
2022-10-27,1
2022-11-03,1
2022-11-06,1
2022-11-09,1
2022-11-10,1
2022-11-24,1
2022-11-30,2
2022-12-02,2
2022-12-06,2
2022-12-07,1
2022-12-08,1
2022-12-10,1
2022-12-13,2
2022-12-14,1
2022-12-15,1
2022-12-16,1
2022-12-18,1
2022-12-20,1
2022-12-21,1
2022-12-22,2
2022-12-23,3
2022-12-28,1
2023-01-04,1
2023-01-09,1
2023-01-10,2
2023-01-12,2
2023-01-13,1
2023-01-14,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-01,1
2023-02-05,1
2023-02-13,1
2023-02-14,2
2023-02-24,1
2023-02-25,1
2023-02-27,1
2023-03-05,1
2023-03-06,1
2023-03-12,1
2023-03-16,1
2023-03-17,1
2023-03-18,9
2023-03-22,1
2023-03-23,2
2023-04-04,1
2023-04-11,1
2023-04-30,1
2023-05-22,1
2023-05-26,1
2023-06-16,1
2023-06-20,1
2023-07-06,1
2023-07-07,2
2023-07-26,1
2023-07-27,1
2023-07-29,1
2023-08-01,1
2023-08-02,1
2023-08-04,4
2023-08-07,3
2023-08-11,1
2023-08-12,2
2023-08-13,3
2023-08-15,3
2023-08-16,3
2023-08-17,1
