period_start,post_count
2022-01-04,1
2022-01-07,2
2022-01-08,1
2022-01-11,1
2022-01-16,3
2022-01-18,3
2022-01-28,1
2022-02-04,1
2022-02-08,1
2022-02-09,1
2022-02-14,1
2022-02-16,1
2022-02-21,1
2022-02-25,1
2022-02-26,2
2022-02-28,2
2022-03-02,1
2022-03-05,1
2022-03-15,1
2022-03-16,1
2022-03-23,1
2022-03-31,1
2022-04-01,1
2022-04-07,1
2022-04-12,1
2022-04-15,1
2022-04-18,1
2022-04-20,1
2022-04-22,1
2022-04-26,1
2022-04-28,1
2022-05-04,1
2022-05-06,1
2022-05-18,1
2022-05-27,2
2022-06-04,1
2022-06-05,2
2022-06-06,1
2022-06-13,2
2022-06-14,2
2022-06-15,1
2022-06-16,1
2022-06-17,1
2022-06-23,2
2022-06-27,1
2022-06-28,1
2022-07-08,1
2022-07-09,1
2022-07-14,2
2022-07-16,1
2022-07-18,1
2022-07-19,2
2022-07-25,1
2022-08-04,1
2022-08-05,1
2022-08-06,2
2022-08-07,1
2022-08-08,1
2022-08-10,1
2022-08-11,1
2022-08-13,4
2022-08-14,1
2022-08-17,4
2022-08-18,3
2022-08-19,2
2022-08-25,1
2022-08-26,1
2022-09-01,1
2022-09-03,1
2022-09-04,1
2022-09-05,1
2022-09-07,1
2022-09-12,2
2022-09-20,1
2022-09-23,1
2022-09-24,1
2022-09-29,2
2022-10-02,1
2022-10-09,2
2022-10-11,2
2022-10-15,1
2022-10-21,1
2022-10-25,1
2022-10-27,3
2022-10-29,1
2022-10-30,1
2022-10-31,1
2022-11-01,1
2022-11-02,2
2022-11-04,1
2022-11-09,1
2022-11-14,1
2022-11-17,1
2022-11-18,1
2022-11-22,3
2022-12-02,2
2022-12-07,1
2022-12-08,1
2022-12-09,1
2022-12-11,1
2022-12-12,1
2022-12-13,1
2022-12-14,1
2022-12-15,1
2022-12-19,1
2022-12-25,1
2022-12-26,1
2022-12-31,2
2023-01-08,1
2023-01-10,1
2023-01-12,1
2023-01-19,1
2023-01-25,1
2023-01-31,2
2023-02-03,1
2023-02-04,2
2023-02-05,1
2023-02-06,1
2023-02-14,1
2023-02-26,1
2023-03-01,1
2023-03-10,1
2023-03-13,2
2023-03-20,1
2023-03-23,1
2023-03-30,1
2023-04-02,1
2023-04-03,10
2023-04-04,1
2023-04-05,1
2023-04-07,1
2023-04-17,1
2023-04-18,1
2023-04-24,1
2023-04-26,1
2023-04-28,3
2023-04-29,1
2023-04-30,1
2023-05-02,2
2023-05-09,3
2023-05-10,1
2023-05-14,3
2023-05-16,1
2023-05-19,2
2023-05-20,2
2023-05-21,1
2023-05-22,1
2023-05-23,1
2023-05-24,2
2023-05-25,1
2023-05-31,2
2023-06-01,1
2023-06-02,1
2023-06-03,1
2023-06-04,2
2023-06-05,1
2023-06-08,1
2023-06-10,1
2023-06-11,1
2023-06-12,2
2023-06-13,2
2023-06-15,2
2023-06-19,1
2023-06-20,1
2023-06-21,1
2023-06-22,2
2023-06-23,1
2023-06-26,2
2023-06-28,1
2023-06-29,3
2023-06-30,2
2023-07-04,1
2023-07-05,1
2023-07-06,2
2023-07-07,1
2023-07-09,2
2023-07-10,1
2023-07-13,1
2023-07-14,7
2023-07-15,4
2023-07-16,3
2023-07-17,7
2023-07-18,3
