# {"columns":{"geo":"geo_insee","indicator":25,"time":"week","value":["inc","inc_low","inc_up","inc100","inc100_low","inc100_up"]},"query":{"geo_ref":"insee","indicator":25,"type":"all","period":[202016,202510],"geo":["PAY",1]},"compact":false,"time":"week","source":"r&#233;seau Sentinelles, INSERM, Sorbonne Universit&#233;, https://www.sentiweb.fr","date":"2025-03-12T14:55:20+0100"}
"week","geo_insee","indicator","inc","inc100","inc_up","inc_low","inc100_up","inc100_low"
202016,"FR",25,41726,63,44257,39195,67,60
202017,"FR",25,45903,70,51774,40032,79,61
202018,"FR",25,34618,53,39737,29499,60,45
202019,"FR",25,27347,42,31814,22880,48,35
202020,"FR",25,28416,43,32957,23875,50,36
202021,"FR",25,14651,22,17949,11353,27,17
202022,"FR",25,30397,46,32550,28244,49,43
202023,"FR",25,21692,33,23520,19864,36,30
202024,"FR",25,20783,32,22565,19001,34,29
202025,"FR",25,15352,23,16904,13800,26,21
202026,"FR",25,10251,16,11522,8980,17,14
202027,"FR",25,8978,14,10179,7777,15,12
202028,"FR",25,10079,15,11375,8783,17,13
202029,"FR",25,10061,15,11397,8725,17,13
202030,"FR",25,13278,20,14843,11713,23,18
202031,"FR",25,12018,18,13527,10509,21,16
202032,"FR",25,14207,22,15941,12473,24,19
202033,"FR",25,14219,22,16007,12431,24,19
202034,"FR",25,14357,22,16049,12665,24,19
202035,"FR",25,15694,24,17305,14083,26,21
202036,"FR",25,17143,26,18779,15507,29,24
202037,"FR",25,33136,50,35395,30877,54,47
202038,"FR",25,50858,77,53662,48054,81,73
202039,"FR",25,49566,75,52295,46837,79,71
202040,"FR",25,57032,87,59978,54086,91,82
202041,"FR",25,71876,109,75167,68585,114,104
202042,"FR",25,81948,124,85429,78467,130,119
202043,"FR",25,82420,125,86021,78819,131,120
202044,"FR",25,82544,125,86179,78909,131,120
202045,"FR",25,79941,121,83403,76479,127,116
202046,"FR",25,63907,97,67004,60810,102,92
202047,"FR",25,67358,102,70532,64184,107,97
202048,"FR",25,64363,98,67445,61281,102,93
202049,"FR",25,62655,95,65692,59618,100,91
202050,"FR",25,54893,83,57725,52061,88,79
202051,"FR",25,52629,80,55446,49812,84,76
202052,"FR",25,30570,46,32875,28265,50,43
202053,"FR",25,32300,49,34788,29812,53,45
202101,"FR",25,49292,75,52002,46582,79,71
202102,"FR",25,44937,68,47509,42365,72,64
202103,"FR",25,52022,79,54798,49246,83,75
202104,"FR",25,64190,97,67286,61094,102,92
202105,"FR",25,65233,99,68373,62093,103,94
