ili_related,symptoms,cid
False,[],bafyreie6a5gwdsayxb3bnlbndkezfp6ydw6v27l3xkmths4h2ieyl4h7ay
True,['fièvre'],bafyreifogpx6t3s7ftd63smzsu2oms7ppxlzv4xz4spyt4ucoz7ijkk5o4
False,[],bafyreigzdqnkc7rqsati4xeu66ertxbzziajx5nrvkzat7q5v64jufjgka
False,['grippe'],bafyreiggdvg6fttbgiwahm25sjjsmb2ghn7i442rkcifapbyp7ic7otob4
False,['erkältet'],bafyreiemedehdopzmcdrz4cbzkshfdqyji7vh2wonbdpvg4tqlbxyw2z44
False,[],bafyreiexgysznzdxj5ddiqm3wz66uenpn44x4iyssx5b2rcntalr66vpvi
False,[],bafyreickbsnlepjwbqvdb45tmhu3flg273wyol7h3glxhbuhsazkygdm7e
False,[],bafyreial4ibca2voh2blqst443czylzkxqvu4pngqufxepsbib3boxcaaq
True,['La grippe'],bafyreibgpj3lk5nf2lziq7owkq2jwqzuyz7r7u52s5etxkuxm5uozr7vhe
False,[],bafyreietdpjaljg3twb6idjy3wrnvcj73pgznzxkj5a5vkxmgu54mlnt7q
False,"['rougeole', 'covid', 'VRS', 'grippe']",bafyreic53q6seqqhmcb67to3k4ojnp5iwoxjve25j5tigtjmky32d5heca
False,[],bafyreiecd7g45ladaxjnbrgru2a2dx3cyjihgwwhzi4x7qbrv6tfby5a64
False,[],bafyreihfkb63on7cqxitkilz2qm7piei7owd4o554fq7foyvuzqdkzff4y
False,[],bafyreifreyejterq3f3bhem7jci5dpw35wbfybbsacnzu7lf4hdvbrb73u
False,[],bafyreibfw35vnibiyj2x6j6zz6z5fqsqjfvqot2h5zpkkue2otxliqhvla
False,[],bafyreibcmok25ca57isalxbenxqvp5ckcyrd2vwt3uewdktnj2sbdxaywq
False,[],bafyreiahzfj4t3uswskuemnzlf5uzqfcbakxjdhwtlyp5podwlnh2gtd5m
True,"['Migraine', 'fièvre', 'grippe']",bafyreiboni2tbq3o3ih2plcn56u3ilvyzouzj36xmh4mqsywksyf6drbl4
False,[],bafyreifl2vkir7xbsoiponucpjp6ozzohpamhxibe6hp4nawgw3u5g53pe
False,[],bafyreigvgwwiieqjrglvics5t3j7thv7n4dgrikx5vgvdlvipb2excuavi
True,['grippe'],bafyreig7g3wwq7wtzndxtn3nxcbmbpcbfhnexva6atmf6a4prh4ckcqpzy
False,[],bafyreib2rhiczjie5z3kvrfie3rnwk6c3qqkuaudgol2lg3a64yvy2oqqy
False,[],bafyreiei7gtbbmeoyk7fekcq3ez4gy477pnqsma7ioaiq6cwduwnijmr6y
False,[],bafyreib3dhpek22xc6k7u7i4gzpiy7r7dypbngamqqvpisbx2sb3rvtqky
False,[],bafyreiajctdjcykstokgcywxasqbgvpn22q5cg6gzeciveirjdphp4fyuu
False,[],bafyreibnvqnmlkfebcspysof7gsgzzvobvjqubdaribzzhe3r6kdaqzm2m
False,[],bafyreicqmwt72nnd2ftklfgtm433tnjekyvbu2gkixlrii44gffgmvuxke
