period_start,post_count
2022-01-01,2
2022-01-02,1
2022-01-03,5
2022-01-04,7
2022-01-05,5
2022-01-06,10
2022-01-07,8
2022-01-08,7
2022-01-09,4
2022-01-10,8
2022-01-11,5
2022-01-12,3
2022-01-13,6
2022-01-14,7
2022-01-15,7
2022-01-16,1
2022-01-17,3
2022-01-18,5
2022-01-19,6
2022-01-20,8
2022-01-21,6
2022-01-22,2
2022-01-23,5
2022-01-24,1
2022-01-25,12
2022-01-26,7
2022-01-27,11
2022-01-28,12
2022-01-29,7
2022-01-30,5
2022-01-31,5
2022-02-01,12
2022-02-02,7
2022-02-03,10
2022-02-04,15
2022-02-05,3
2022-02-06,4
2022-02-07,6
2022-02-08,7
2022-02-09,11
2022-02-10,3
2022-02-11,15
2022-02-12,3
2022-02-13,6
2022-02-14,12
2022-02-15,9
2022-02-16,6
2022-02-17,6
2022-02-18,7
2022-02-19,7
2022-02-20,6
2022-02-21,5
2022-02-22,7
2022-02-23,8
2022-02-24,8
2022-02-25,8
2022-02-26,6
2022-02-27,4
2022-02-28,8
2022-03-01,13
2022-03-02,13
2022-03-03,7
2022-03-04,4
2022-03-05,6
2022-03-06,8
2022-03-07,14
2022-03-08,10
2022-03-09,9
2022-03-10,7
2022-03-11,5
2022-03-12,9
2022-03-13,3
2022-03-14,7
2022-03-15,8
2022-03-16,11
2022-03-17,4
2022-03-18,9
2022-03-19,2
2022-03-20,6
2022-03-21,6
2022-03-22,7
2022-03-23,1
2022-03-24,10
2022-03-25,3
2022-03-26,6
2022-03-27,7
2022-03-28,7
2022-03-29,7
2022-03-30,9
2022-03-31,1
2022-04-01,8
2022-04-02,7
2022-04-03,2
2022-04-04,1
2022-04-05,3
2022-04-06,7
2022-04-07,7
2022-04-08,2
2022-04-09,5
2022-04-10,5
2022-04-11,9
2022-04-12,3
2022-04-13,15
2022-04-14,9
2022-04-15,8
2022-04-16,6
2022-04-17,7
2022-04-18,6
2022-04-19,8
2022-04-20,7
2022-04-21,10
2022-04-22,14
2022-04-23,5
2022-04-24,16
2022-04-25,11
2022-04-26,5
2022-04-27,8
2022-04-28,5
2022-04-29,10
2022-04-30,3
2022-05-01,7
2022-05-02,8
2022-05-03,10
2022-05-04,12
2022-05-05,11
2022-05-06,13
2022-05-07,4
2022-05-08,6
2022-05-09,10
2022-05-10,14
2022-05-11,7
2022-05-12,5
2022-05-13,4
2022-05-14,6
2022-05-15,2
2022-05-16,7
2022-05-17,13
2022-05-18,7
2022-05-19,6
2022-05-20,14
2022-05-21,3
2022-05-22,5
