period_start,post_count
2022-01-01,1
2022-01-03,2
2022-01-04,2
2022-01-05,2
2022-01-06,1
2022-01-07,1
2022-01-09,1
2022-01-10,3
2022-01-11,4
2022-01-12,2
2022-01-13,1
2022-01-14,1
2022-01-16,1
2022-01-19,4
2022-01-22,1
2022-01-24,4
2022-01-25,2
2022-01-26,1
2022-01-27,2
2022-01-28,1
2022-01-29,1
2022-01-31,1
2022-02-02,1
2022-02-03,1
2022-02-04,1
2022-02-05,1
2022-02-08,1
2022-02-09,3
2022-02-10,1
2022-02-11,1
2022-02-12,2
2022-02-14,2
2022-02-15,3
2022-02-18,1
2022-02-21,3
2022-02-23,1
2022-02-24,1
2022-02-25,1
2022-02-27,1
2022-03-01,4
2022-03-03,1
2022-03-04,1
2022-03-07,3
2022-03-09,1
2022-03-11,1
2022-03-12,1
2022-03-13,1
2022-03-14,1
2022-03-16,1
2022-03-17,1
2022-03-18,5
2022-03-19,1
2022-03-20,3
2022-03-23,2
2022-03-25,3
2022-03-27,3
2022-03-28,2
2022-03-31,4
2022-04-03,1
2022-04-04,1
2022-04-05,3
2022-04-06,2
2022-04-07,2
2022-04-11,1
2022-04-12,1
2022-04-13,1
2022-04-14,1
2022-04-18,2
2022-04-19,4
2022-04-22,1
2022-04-24,1
2022-04-26,1
2022-04-29,1
2022-04-30,1
2022-05-02,1
2022-05-03,2
2022-05-06,1
2022-05-07,1
2022-05-08,4
2022-05-11,1
2022-05-12,1
2022-05-13,2
2022-05-14,1
2022-05-18,2
2022-05-20,2
2022-05-21,1
2022-05-22,1
2022-05-23,3
2022-05-27,1
2022-05-29,2
2022-06-02,1
2022-06-04,1
2022-06-06,1
2022-06-07,3
2022-06-08,1
2022-06-09,1
2022-06-10,1
2022-06-12,4
2022-06-14,3
2022-06-16,1
2022-06-20,1
2022-06-21,1
2022-06-27,2
2022-06-28,2
2022-07-01,1
2022-07-04,3
2022-07-06,1
2022-07-07,1
2022-07-08,1
2022-07-18,1
2022-07-22,3
2022-07-25,2
2022-07-26,1
2022-07-27,2
2022-07-29,1
2022-07-30,2
2022-07-31,1
2022-08-01,1
2022-08-03,2
2022-08-05,3
2022-08-06,1
2022-08-08,2
2022-08-09,1
2022-08-12,1
2022-08-15,1
2022-08-17,1
2022-08-19,1
2022-08-22,1
2022-08-23,1
2022-08-25,2
2022-08-27,1
2022-08-28,1
2022-08-29,1
2022-09-01,2
2022-09-04,1
2022-09-06,2
2022-09-07,1
2022-09-09,4
2022-09-13,2
2022-09-14,1
2022-09-16,1
2022-09-17,1
2022-09-18,2
2022-09-19,2
2022-09-20,1
2022-09-23,1
2022-09-30,1
2022-10-02,1
2022-10-03,1
2022-10-07,2
2022-10-08,1
2022-10-09,1
2022-10-10,2
