period_start,post_count
2022-01-01,20
2022-01-02,18
2022-01-03,9
2022-01-04,13
2022-01-05,10
2022-01-06,11
2022-01-07,13
2022-01-08,9
2022-01-09,14
2022-01-10,18
2022-01-11,18
2022-01-12,12
2022-01-13,5
2022-01-14,12
2022-01-15,15
2022-01-16,17
2022-01-17,20
2022-01-18,7
2022-01-19,12
2022-01-20,17
2022-01-21,7
2022-01-22,10
2022-01-23,12
2022-01-24,10
2022-01-25,10
2022-01-26,12
2022-01-27,8
2022-01-28,13
2022-01-29,19
2022-01-30,17
2022-01-31,10
2022-02-01,9
2022-02-02,14
2022-02-03,17
2022-02-04,12
2022-02-05,7
2022-02-06,9
2022-02-07,10
2022-02-08,10
2022-02-09,5
2022-02-10,11
2022-02-11,11
2022-02-12,11
2022-02-13,9
2022-02-14,4
2022-02-15,4
2022-02-16,12
2022-02-17,22
2022-02-18,30
2022-02-19,15
2022-02-20,13
2022-02-21,14
2022-02-22,16
2022-02-23,21
2022-02-24,10
2022-02-25,7
2022-02-26,6
2022-02-27,4
2022-02-28,8
2022-03-01,15
2022-03-02,10
2022-03-03,8
2022-03-04,9
2022-03-05,8
2022-03-06,13
2022-03-07,13
2022-03-08,15
2022-03-09,16
2022-03-10,11
2022-03-11,13
2022-03-12,12
2022-03-13,12
2022-03-14,12
2022-03-15,9
2022-03-16,7
2022-03-17,11
2022-03-18,14
2022-03-19,6
2022-03-20,13
2022-03-21,14
2022-03-22,14
2022-03-23,20
2022-03-24,12
2022-03-25,23
2022-03-26,14
2022-03-27,16
2022-03-28,11
2022-03-29,12
2022-03-30,16
2022-03-31,14
2022-04-01,31
2022-04-02,11
2022-04-03,6
2022-04-04,10
2022-04-05,15
2022-04-06,19
2022-04-07,20
2022-04-08,21
2022-04-09,12
2022-04-10,20
2022-04-11,11
2022-04-12,15
2022-04-13,19
2022-04-14,12
2022-04-15,13
2022-04-16,3
2022-04-17,8
2022-04-18,8
2022-04-19,13
2022-04-20,7
2022-04-21,11
2022-04-22,14
2022-04-23,17
2022-04-24,8
2022-04-25,6
2022-04-26,9
2022-04-27,10
2022-04-28,13
2022-04-29,5
2022-04-30,4
2022-05-01,6
2022-05-02,9
2022-05-03,13
2022-05-04,9
2022-05-05,16
2022-05-06,8
2022-05-07,15
2022-05-08,6
2022-05-09,13
2022-05-10,9
2022-05-11,10
2022-05-12,15
2022-05-13,15
2022-05-14,11
2022-05-15,10
2022-05-16,19
2022-05-17,17
2022-05-18,13
2022-05-19,11
2022-05-20,16
2022-05-21,11
2022-05-22,10
2022-05-23,17
2022-05-24,12
2022-05-25,8
2022-05-26,10
2022-05-27,12
2022-05-28,6
2022-05-29,4
2022-05-30,6
2022-05-31,11
2022-06-01,17
2022-06-02,9
2022-06-03,8
2022-06-04,6
2022-06-05,9
2022-06-06,13
2022-06-07,13
2022-06-08,12
2022-06-09,7
2022-06-10,7
2022-06-11,7
2022-06-12,12
2022-06-13,13
2022-06-14,12
2022-06-15,15
2022-06-16,19
2022-06-17,18
2022-06-18,16
2022-06-19,16
2022-06-20,13
2022-06-21,15
2022-06-22,24
2022-06-23,11
2022-06-24,8
2022-06-25,13
2022-06-26,5
2022-06-27,20
2022-06-28,15
2022-06-29,6
2022-06-30,16
2022-07-01,15
2022-07-02,9
2022-07-03,8
2022-07-04,5
2022-07-05,11
2022-07-06,7
2022-07-07,10
2022-07-08,9
2022-07-09,11
2022-07-10,10
2022-07-11,14
2022-07-12,19
2022-07-13,11
2022-07-14,11
2022-07-15,22
2022-07-16,10
2022-07-17,14
2022-07-18,24
2022-07-19,35
2022-07-20,25
2022-07-21,25
2022-07-22,16
2022-07-23,11
2022-07-24,14
2022-07-25,10
2022-07-26,12
2022-07-27,13
2022-07-28,12
2022-07-29,14
2022-07-30,3
2022-07-31,8
2022-08-01,13
2022-08-02,10
2022-08-03,10
2022-08-04,5
2022-08-05,9
2022-08-06,8
2022-08-07,16
2022-08-08,18
2022-08-09,8
2022-08-10,12
2022-08-11,14
2022-08-12,13
2022-08-13,9
2022-08-14,8
2022-08-15,16
2022-08-16,15
2022-08-17,17
2022-08-18,12
2022-08-19,9
2022-08-20,12
2022-08-21,7
2022-08-22,10
2022-08-23,15
2022-08-24,15
2022-08-25,9
2022-08-26,8
2022-08-27,6
2022-08-28,11
2022-08-29,15
2022-08-30,14
2022-08-31,8
2022-09-01,16
2022-09-02,11
2022-09-03,9
2022-09-04,7
2022-09-05,13
2022-09-06,18
2022-09-07,12
2022-09-08,10
2022-09-09,13
2022-09-10,12
2022-09-11,10
2022-09-12,15
2022-09-13,8
2022-09-14,6
2022-09-15,12
2022-09-16,13
2022-09-17,10
2022-09-18,14
2022-09-19,13
2022-09-20,9
2022-09-21,8
2022-09-22,12
2022-09-23,18
2022-09-24,13
2022-09-25,12
2022-09-26,14
2022-09-27,9
2022-09-28,28
2022-09-29,13
2022-09-30,18
2022-10-01,4
2022-10-02,12
2022-10-03,14
2022-10-04,5
2022-10-05,18
2022-10-06,11
2022-10-07,8
2022-10-08,6
2022-10-09,10
2022-10-10,10
2022-10-11,16
2022-10-12,11
2022-10-13,20
2022-10-14,9
2022-10-15,15
2022-10-16,11
2022-10-17,24
2022-10-18,18
2022-10-19,18
2022-10-20,12
2022-10-21,11
2022-10-22,10
2022-10-23,15
2022-10-24,13
2022-10-25,19
2022-10-26,15
2022-10-27,16
2022-10-28,13
2022-10-29,16
2022-10-30,10
2022-10-31,11
2022-11-01,11
2022-11-02,12
2022-11-03,17
2022-11-04,16
2022-11-05,19
2022-11-06,6
2022-11-07,21
2022-11-08,17
2022-11-09,13
2022-11-10,17
2022-11-11,14
2022-11-12,11
2022-11-13,10
2022-11-14,10
2022-11-15,14
2022-11-16,11
2022-11-17,13
2022-11-18,19
2022-11-19,12
2022-11-20,7
2022-11-21,14
2022-11-22,16
2022-11-23,12
2022-11-24,5
2022-11-25,5
2022-11-26,15
2022-11-27,7
2022-11-28,8
2022-11-29,12
2022-11-30,12
2022-12-01,9
2022-12-02,12
2022-12-03,10
2022-12-04,8
2022-12-05,4
2022-12-06,4
2022-12-07,12
2022-12-08,7
2022-12-09,8
2022-12-10,7
2022-12-11,20
2022-12-12,11
2022-12-13,9
2022-12-14,19
2022-12-15,16
2022-12-16,16
2022-12-17,10
2022-12-18,16
2022-12-19,17
2022-12-20,22
2022-12-21,22
2022-12-22,35
2022-12-23,29
2022-12-24,27
2022-12-25,20
2022-12-26,15
2022-12-27,12
2022-12-28,8
2022-12-29,14
2022-12-30,14
2022-12-31,6
2023-01-01,7
2023-01-02,8
2023-01-03,13
2023-01-04,13
2023-01-05,13
2023-01-06,6
2023-01-07,7
2023-01-08,11
2023-01-09,18
2023-01-10,22
2023-01-11,10
2023-01-12,12
2023-01-13,8
2023-01-14,5
2023-01-15,6
2023-01-16,9
2023-01-17,13
2023-01-18,6
2023-01-19,9
2023-01-20,15
2023-01-21,6
2023-01-22,7
2023-01-23,10
2023-01-24,9
2023-01-25,12
2023-01-26,13
2023-01-27,14
2023-01-28,5
2023-01-29,6
2023-01-30,14
2023-01-31,10
2023-02-01,10
2023-02-02,16
2023-02-03,17
2023-02-04,16
2023-02-05,12
2023-02-06,11
2023-02-07,11
2023-02-08,7
2023-02-09,12
2023-02-10,2
2023-02-11,6
2023-02-12,7
2023-02-13,11
2023-02-14,10
2023-02-15,12
2023-02-16,13
2023-02-17,11
2023-02-18,9
2023-02-19,2
2023-02-20,9
2023-02-21,25
2023-02-22,23
2023-02-23,20
2023-02-24,15
2023-02-25,7
2023-02-26,9
2023-02-27,23
2023-02-28,17
2023-03-01,7
2023-03-02,8
2023-03-03,17
2023-03-04,13
2023-03-05,7
2023-03-06,13
2023-03-07,14
2023-03-08,11
2023-03-09,22
2023-03-10,11
2023-03-11,10
2023-03-12,6
2023-03-13,16
2023-03-14,23
2023-03-15,18
2023-03-16,12
2023-03-17,9
2023-03-18,11
2023-03-19,7
2023-03-20,12
2023-03-21,12
2023-03-22,13
2023-03-23,4
2023-03-24,8
2023-03-25,10
2023-03-26,7
2023-03-27,5
2023-03-28,9
2023-03-29,18
2023-03-30,8
2023-03-31,19
2023-04-01,17
2023-04-02,10
2023-04-03,14
2023-04-04,28
2023-04-05,16
2023-04-06,12
2023-04-07,9
2023-04-08,14
2023-04-09,14
2023-04-10,21
2023-04-11,37
2023-04-12,58
2023-04-13,44
2023-04-14,44
2023-04-15,46
2023-04-16,33
2023-04-17,40
2023-04-18,20
2023-04-19,29
2023-04-20,26
2023-04-21,37
2023-04-22,31
2023-04-23,34
2023-04-24,41
2023-04-25,55
2023-04-26,49
2023-04-27,62
2023-04-28,92
2023-04-29,100
2023-04-30,100
2023-05-01,5
2023-05-02,73
2023-05-03,75
2023-05-04,87
2023-05-05,71
2023-05-06,73
2023-05-07,100
2023-05-08,8
2023-05-09,100
2023-05-10,100
2023-05-11,14
2023-05-12,100
2023-05-13,30
2023-05-14,75
2023-05-15,76
2023-05-16,84
2023-05-17,87
2023-05-18,84
2023-05-19,59
2023-05-20,75
2023-05-21,56
2023-05-22,84
2023-05-23,64
2023-05-24,56
2023-05-25,52
2023-05-26,53
2023-05-27,42
2023-05-28,51
2023-05-29,51
2023-05-30,57
2023-05-31,65
2023-06-01,60
2023-06-02,57
2023-06-03,35
2023-06-04,69
2023-06-05,53
2023-06-06,70
2023-06-07,89
2023-06-08,123
2023-06-10,61
2023-06-11,80
2023-06-12,100
2023-06-13,31
2023-06-14,100
2023-06-15,67
2023-06-16,73
2023-06-17,68
2023-06-18,71
2023-06-19,61
2023-06-20,138
2023-06-22,93
2023-06-23,72
2023-06-24,82
2023-06-25,68
2023-06-26,72
2023-06-27,58
2023-06-28,99
2023-06-29,51
2023-06-30,100
2023-07-01,317
2023-07-02,113
2023-07-03,118
2023-07-04,115
2023-07-05,107
2023-07-06,199
2023-07-07,102
2023-07-08,200
2023-07-09,111
2023-07-10,195
2023-07-11,199
2023-07-12,123
2023-07-13,94
2023-07-14,100
2023-07-15,100
2023-07-16,12
2023-07-17,199
2023-07-18,174
2023-07-19,140
2023-07-20,99
2023-07-21,96
2023-07-22,62
2023-07-23,98
2023-07-24,233
2023-07-25,98
2023-07-26,118
2023-07-27,129
2023-07-28,297
2023-07-29,20
2023-07-30,196
2023-07-31,240
2023-08-01,98
2023-08-02,166
2023-08-03,100
2023-08-04,297
2023-08-05,37
2023-08-06,99
2023-08-07,197
2023-08-08,105
2023-08-09,197
2023-08-10,184
2023-08-11,100
2023-08-12,276
2023-08-13,99
2023-08-14,219
2023-08-15,197
2023-08-16,147
2023-08-17,199
2023-08-18,197
2023-08-19,382
2023-08-20,96
2023-08-21,145
2023-08-22,198
2023-08-23,279
2023-08-24,296
2023-08-25,297
2023-08-26,99
2023-08-27,199
2023-08-28,386
2023-08-29,172
2023-08-30,275
2023-08-31,294
2023-09-01,196
2023-09-02,93
2023-09-03,296
2023-09-04,99
2023-09-05,266
2023-09-06,379
2023-09-07,271
2023-09-08,297
2023-09-09,98
2023-09-10,219
2023-09-11,297
2023-09-12,204
2023-09-13,267
2023-09-14,298
2023-09-15,294
2023-09-16,155
2023-09-17,198
2023-09-18,269
2023-09-19,397
2023-09-20,393
2023-09-21,227
2023-09-22,396
2023-09-23,325
