record__created_at,cid
2023-08-07 00:00:00+00:00,1
2023-08-14 00:00:00+00:00,0
2023-08-21 00:00:00+00:00,2
2023-08-28 00:00:00+00:00,6
2023-09-04 00:00:00+00:00,2
2023-09-11 00:00:00+00:00,8
2023-09-18 00:00:00+00:00,13
2023-09-25 00:00:00+00:00,18
2023-10-02 00:00:00+00:00,16
2023-10-09 00:00:00+00:00,40
2023-10-16 00:00:00+00:00,32
2023-10-23 00:00:00+00:00,51
2023-10-30 00:00:00+00:00,29
2023-11-06 00:00:00+00:00,33
2023-11-13 00:00:00+00:00,36
2023-11-20 00:00:00+00:00,20
2023-11-27 00:00:00+00:00,43
2023-12-04 00:00:00+00:00,24
2023-12-11 00:00:00+00:00,53
2023-12-18 00:00:00+00:00,24
2023-12-25 00:00:00+00:00,35
2024-01-01 00:00:00+00:00,26
2024-01-08 00:00:00+00:00,32
2024-01-15 00:00:00+00:00,26
2024-01-22 00:00:00+00:00,18
2024-01-29 00:00:00+00:00,16
2024-02-05 00:00:00+00:00,25
2024-02-12 00:00:00+00:00,13
2024-02-19 00:00:00+00:00,11
2024-02-26 00:00:00+00:00,11
2024-03-04 00:00:00+00:00,8
2024-03-11 00:00:00+00:00,3
2024-03-18 00:00:00+00:00,6
2024-03-25 00:00:00+00:00,5
2024-04-01 00:00:00+00:00,8
2024-04-08 00:00:00+00:00,7
2024-04-15 00:00:00+00:00,3
2024-04-22 00:00:00+00:00,5
2024-04-29 00:00:00+00:00,2
2024-05-06 00:00:00+00:00,3
2024-05-13 00:00:00+00:00,0
2024-05-20 00:00:00+00:00,3
2024-05-27 00:00:00+00:00,1
2024-06-03 00:00:00+00:00,5
2024-06-10 00:00:00+00:00,6
2024-06-17 00:00:00+00:00,6
2024-06-24 00:00:00+00:00,4
2024-07-01 00:00:00+00:00,13
2024-07-08 00:00:00+00:00,5
2024-07-15 00:00:00+00:00,6
2024-07-22 00:00:00+00:00,12
2024-07-29 00:00:00+00:00,5
2024-08-05 00:00:00+00:00,6
2024-08-12 00:00:00+00:00,5
2024-08-19 00:00:00+00:00,7
2024-08-26 00:00:00+00:00,3
2024-09-02 00:00:00+00:00,7
2024-09-09 00:00:00+00:00,7
2024-09-16 00:00:00+00:00,10
2024-09-23 00:00:00+00:00,9
2024-09-30 00:00:00+00:00,7
2024-10-07 00:00:00+00:00,6
2024-10-14 00:00:00+00:00,13
2024-10-21 00:00:00+00:00,13
2024-10-28 00:00:00+00:00,11
2024-11-04 00:00:00+00:00,12
2024-11-11 00:00:00+00:00,13
2024-11-18 00:00:00+00:00,31
2024-11-25 00:00:00+00:00,50
2024-12-02 00:00:00+00:00,53
2024-12-09 00:00:00+00:00,43
2024-12-16 00:00:00+00:00,47
2024-12-23 00:00:00+00:00,78
2024-12-30 00:00:00+00:00,83
2025-01-06 00:00:00+00:00,66
2025-01-13 00:00:00+00:00,67
2025-01-20 00:00:00+00:00,93
2025-01-27 00:00:00+00:00,112
2025-02-03 00:00:00+00:00,103
2025-02-10 00:00:00+00:00,110
2025-02-17 00:00:00+00:00,76
2025-02-24 00:00:00+00:00,45
2025-03-03 00:00:00+00:00,33
2025-03-10 00:00:00+00:00,41
2025-03-17 00:00:00+00:00,26
2025-03-24 00:00:00+00:00,25
