uri,record__created_at,record__text,ili_related,symptoms
at://did:plc:3wrlt2j6vcjk5mir3q2o5yka/app.bsky.feed.post/3llsnomielc2g,2025-04-02 05:27:35.272000 UTC,Grippe aviaire : les coupes budgétaires de Trump amplifient la menace pandémique www.lepoint.fr/tiny/1-2586310 #Santé via @lepoint.fr,false,
at://did:plc:2r2hmsrutzczrihl75swj5sz/app.bsky.feed.post/3llrhjvcp7s2r,2025-04-01 18:04:54.564000 UTC,"La grippe aviaire a dû empêcher d’entendre les témoins, malgré les efforts du commissaire Magret… blague à part, ce manque de moyens est consternant. Là est le vrai sujet.",false,
at://did:plc:3nsxaudctmlg7jvcathhx7wf/app.bsky.feed.post/3llqc5h2uxk2z,2025-04-01 06:55:48.379000 UTC,"Bonjour Lyly !
Bon courage pour ta journée. De mon côté, j'ai une rhume qui ne m'a pas laissé dormir.
Ma journée va ressembler à ça :",false,rhume
at://did:plc:24mlxzobi4zd2naqjhboutof/app.bsky.feed.post/3llownge2tc2v,2025-03-31 17:57:19.995000 UTC,"🥁Suivi PCR COVID / Grippe / VRS de mon labo, 4è semaine mars 2025 :

🟢Grippe : fin de la période épidémique
🟢 VRS : quasi plus de circulation
🟠 COVID : augmentation des cas

La nature a horreur du vide...",false,
at://did:plc:32znra3irzy3axbshmohr4we/app.bsky.feed.post/3lljp3kbxjk25,2025-03-29 15:58:45.270000 UTC,"En parlant de Covid, on en est ou des campagnes de vaccinations ? 

C'est toujours 2 fois par an ou juste à l'hiver avec celui de la grippe ? 
Vous savez si il y'a un site qui permet de suivre ça ?",false,
at://did:plc:3mc2x22djq2ndzacgkyjxkyp/app.bsky.feed.post/3llgf7w3gas2d,2025-03-28 08:24:15.220000 UTC,Aux dernières nouvelles son trafic réseau était un peu grippé à lui aussi,false,
at://did:plc:3fash4md3zhso7dtetudlfij/app.bsky.feed.post/3lldt65e7vc2e,2025-03-27 07:55:48.914000 UTC,@thomas-legrand.bsky.social vous m'inquiétez! Un billet sans qu'il soit question de JLM?! Etes vous sûr de ne pas couver une mauvaise grippe?? 😝,false,
at://did:plc:2zmeorn3ylkjgdbykphtfsry/app.bsky.feed.post/3llcjslrqg224,2025-03-26 19:35:37.969000 UTC,Aucune fièvre!,false,fièvre
at://did:plc:2vbrvawxyw4423bzxwflv464/app.bsky.feed.post/3llceo6s5gs2e,2025-03-26 18:03:41.423000 UTC,"En pleine production de la prochaine pandémie de grippe aviaire, c'est vrai que la priorité c'est de maintenir les élevages en modifiant les techniques à la marge. Le technofanatisme est une plaie.",false,
at://did:plc:2zmeorn3ylkjgdbykphtfsry/app.bsky.feed.post/3lla3y53r222r,2025-03-25 20:22:52.025000 UTC,"Être grippé c’est aussi une excellente excuse pour lire de la bd au lit… et celle-ci est bien, bien jolie! 💕",false,
at://did:plc:3wfzwgbcnz52u5gclgu5jk6i/app.bsky.feed.post/3ll65rqu3jk2z,2025-03-25 01:49:45.879000 UTC,"En effet, l'argument des contre-pouvoirs en prend pour son rhume depuis le début de cette administration. Ils sont complètement paralysés.",false,rhume
at://did:plc:3qxeii72ufctqi3br33t5sej/app.bsky.feed.post/3ll5rcl37uk2g,2025-03-24 22:06:31.533000 UTC,"La fièvre monte à El Pao / Fever Mounts at El Pao - 1959 - Luis Buñuel
Cinematography : Gabriel Figueroa",false,fever
at://did:plc:3qxeii72ufctqi3br33t5sej/app.bsky.feed.post/3ll5milezuc2g,2025-03-24 20:40:24.523000 UTC,La fièvre monte à El Pao - 1959 - Luis Buñuel,false,
at://did:plc:2zmeorn3ylkjgdbykphtfsry/app.bsky.feed.post/3ll4zjmsswc2q,2025-03-24 15:00:58.502000 UTC,Merci Martin! Ça faisait longtemps que je n’avais pas eu une vilaine grippe comme celle-là!,false,
at://did:plc:24mlxzobi4zd2naqjhboutof/app.bsky.feed.post/3ll4unyc66s25,2025-03-24 13:33:56.033000 UTC,"🥁Suivi PCR COVID / Grippe / VRS de mon labo, 3è semaine Mars 2025 :

🟠 Grippe : fin du pic, mais toujours des cas
🟠 COVID : davantage de cas : début de reprise à un fiable niveau ? 
🟢 VRS : peu de cas, à confirmer la semaine prochaine",false,
at://did:plc:3gflpsw57pl4vqbm5kokmxck/app.bsky.feed.post/3ll4ihllymc2d,2025-03-24 09:55:36.509000 UTC,"Sans symptômes autre que la fatigue, go à l'école. Si simple symptôme (maux de ventre, rhume, toux) je garde à la maison pour se reposer au moins et éviter de contaminer les autres. Mon fils ne simule jamais de maladie, et il aime aller à l'école, ça aide.",false,"fatigue,maux de ventre,rhume,toux"
at://did:plc:3mc2x22djq2ndzacgkyjxkyp/app.bsky.feed.post/3ll4ihk5n7k2q,2025-03-24 09:55:34.990000 UTC,"Je viens de recevoir une promesse de bons d'achat  pour un distributeur de kleenex automatique. Offre réservée à leur plus gros client du jour. Entre rhume et tristesse j'ai gravi le haut du podium. 
J'ai besoin de sourire aujourd'hui alors je m'en offre un premier 😄
Bon lundi souriant",false,"rhume,tristesse"
at://did:plc:3o5acjsuzzw6ae6lqeuhqvqi/app.bsky.feed.post/3lkzq2ccxu22h,2025-03-23 07:33:21.279000 UTC,On casse le thermomètre et hop plus de fièvre,false,fièvre
at://did:plc:3wgtcv3ucear6uxajubxvv35/app.bsky.feed.post/3lkymub5rts2j,2025-03-22 21:03:37.747000 UTC,"#ombres #haiku #poesie #poetry 

La lune sur un corps 
Caresses intrépides
Fièvre de Printemps.",false,
at://did:plc:33s45vqluvh7pddgtc2ehqzj/app.bsky.feed.post/3lkvy53drts2q,2025-03-21 19:47:25.619000 UTC,Grippe espagnole dans 5.4.,false,
at://did:plc:2rhty365naaom7gkfnro3wtw/app.bsky.feed.post/3lkvrxnimck24,2025-03-21 17:57:00.875000 UTC,La bêtise circule bien dans ce pays alors la grippe aviaire …,false,
at://did:plc:44doewaucs7xnxdvyyng6izz/app.bsky.feed.post/3lkvon77g7s2q,2025-03-21 16:57:29.124000 UTC,Pour leur donner la fièvre également ?,false,fièvre
at://did:plc:3k4hawprffxcafnl2momkvab/app.bsky.feed.post/3lktob2eyqc2v,2025-03-20 21:45:21.933000 UTC,On va l’appeler la Grippe Américaine,false,
at://did:plc:2yp24rrr24pgws7tjpso5pmo/app.bsky.feed.post/3lktnq6plnc2d,2025-03-20 21:35:56.050000 UTC,"Après l’avantage, c’est qu’entre la rougeole, la grippe aviaire, les bagnoles d’elon & les crash d’avions made in donald, avec un peu de chance d’ici la moitié du mandat y’a même plus à se préoccuper de ce pays du démon",false,
at://did:plc:3r4yuw3fdkje3eadzp7gyyb3/app.bsky.feed.post/3lktmhfk4jk2g,2025-03-20 21:13:07.479000 UTC,Je suis tellement shootée aux AINS et paracetamol qu’il ne peut pas y avoir de fièvre 🤭,false,fièvre
at://did:plc:3lpfvtxootu7ulqmkpiq5riq/app.bsky.feed.post/3lktlz6vyic2b,2025-03-20 21:05:10.766000 UTC,Et on fait comment quand on a un rhume ?,false,rhume
at://did:plc:2td7jkuuj7x6fc4knjscoo2v/app.bsky.feed.post/3lkt3x5hias2e,2025-03-20 16:17:42.264000 UTC,"Repose toi bien, tant que tu le peux, bon courage, j'espère que ce n'est pas un rhume d'homme, ça peut être fatal !",false,
at://did:plc:2q3vasge5jpqdeliju46nyn5/app.bsky.feed.post/3lksf3w6uos2r,2025-03-20 09:28:46.350000 UTC,J'ai probablement un rhume. Mon corps n'aime pas les changements de saisons... 😅,false,
at://did:plc:3kebqhb5klzwaif3hlnp6yme/app.bsky.feed.post/3lkrcrqdqqc2e,2025-03-19 23:14:37.452000 UTC,"Ici, au Canada, on est vigilant. Aux USA cependant, ils ont mis à la porte manu militari tout les nouveaux doctorants qui faisaient partie de l'équipe de recherche des maladies infectieuses, mais ont dû rappeler ceux qui surveillaient la grippe aviaire. Mais on a ordonné à ceux-ci, de ne plus rien",false,
at://did:plc:3lltow3hkyoejkzma6mjha73/app.bsky.feed.post/3lkr7isf5uc22,2025-03-19 22:15:56.381000 UTC,"Alors que les œufs atteignent déjà 10$ la douzaine aux USA, le secrétaire d'état à la santé propose de...ne rien faire contre l'épidémie de grippe aviaire responsable de la mort en masse des poules et de la hausse des prix.

Sachant que la maladie tue plus de 95% des infectés, le désastre va empirer",false,
at://did:plc:3om6euvgbievaiy7n3bjznvc/app.bsky.feed.post/3lkr6mrdvis2s,2025-03-19 22:00:15.766000 UTC,"j'en profite
y'avait pas des projets pour vaccin grippe sur plateforme ARNm?
ça n'a pas marché parce que trop cher
ou parce que ... ben, ça marchait moins bien ?

Tu sembles dire que parce que trop cher

Merci 🥰",false,
at://did:plc:3yc2fod3k7j2y3adgiszm576/app.bsky.feed.post/3lkpk6y3htk2e,2025-03-19 06:21:58.493000 UTC,"Quand les antivax se prennent les pieds dans leurs contradictions, morts des poulets, pénuries d'œufs sur fond de grippe aviaire mondiale

www.liberation.fr/internationa...",false,
at://did:plc:3mdrhasf35nby5z55rcheqvk/app.bsky.feed.post/3lkoeq7efvs2d,2025-03-18 19:11:34.364000 UTC,"La propagation rapide du virus hautement infectieux de la grippe aviaire H5N1 atteint une ampleur « sans précédent », décimant des centaines de millions d'oiseaux dans le monde et se propageant de plus en plus aux mammifères",false,
at://did:plc:3kebqhb5klzwaif3hlnp6yme/app.bsky.feed.post/3lkni2y47f22p,2025-03-18 10:38:37.340000 UTC,"Ce sont des grippes du groupe A, réputées pour créer des pandémies. L'hémagglutinine H1 (grippe espagnole) a fait des millions de morts au début du siècle dernier. 

Le sous-types H5 et H7 sont actuellement les seuls à être autrement pathogènes en circulation. 

Elles le sont car l'influenza du",false,
at://did:plc:2n4bz5ek7jahrvhj4xtf7wab/app.bsky.feed.post/3lkngzrxvfs2f,2025-03-18 10:20:03.611000 UTC,"Pardon mais ce n’est pas déjà le cas des grippes H1N1 et H5N1 ?
En quoi cette grippe aviaire serait différente ?",false,
at://did:plc:3sur65jk7flosjvu724yvqwd/app.bsky.feed.post/3lkmek4cnd22d,2025-03-18 00:02:50.357000 UTC,La FAO met en garde contre une propagation « sans précédent » de la grippe aviaire news.un.org/fr/story/202...,false,
at://did:plc:3mn7iebknujwmb5hstjifhfn/app.bsky.feed.post/3lkln5fyd2k2i,2025-03-17 17:04:08.234000 UTC,Et pas de la grippe aviaire ???,false,
at://did:plc:24mlxzobi4zd2naqjhboutof/app.bsky.feed.post/3lklmg7xruc2z,2025-03-17 16:51:10.159000 UTC,"🥁Suivi PCR COVID / Grippe / VRS de mon labo, 2è sem Mars 25 : 

🟢COVID, toujours très bas
🟠Grippe, circulation désormais plutôt B > A
🟠 VRS : circule toujours de façon notable, surtout chez les personnes âges (EHPAD ++)",false,
at://did:plc:3lltow3hkyoejkzma6mjha73/app.bsky.feed.post/3lkjngwnu5k27,2025-03-16 22:04:08.230000 UTC,"J'aurais cru qu'en Belgique, vu notre météo pluvieuse, c'était surtout le rhume qui avait la cote....",false,
at://did:plc:32fdrt5lkl6shnooxljzhnto/app.bsky.feed.post/3lkjf7h5rqs2u,2025-03-16 19:36:47.159000 UTC,"Mais pourquoi sont-ils là ?
Pour un p'tit rhume ?
Vu que le Covid n'existe pas, y'a aucune raison de s'affoler nan ?",false,rhume
at://did:plc:3h6xjqutfabzj5pm5derry5q/app.bsky.feed.post/3lki7pastys2t,2025-03-16 08:25:35.191000 UTC,"Non mais ils sont frappés par le grippe aviaire, ils sont obligés d'abattre des millions de poules, donc, plus d'œufs.",false,
at://did:plc:257rfprzo3q7hkyb7bqreygu/app.bsky.feed.post/3lki2d2pajs2w,2025-03-16 06:49:17.419000 UTC,"La fièvre dans le sang
Comme un adolescent ?",false,La fièvre dans le sang
at://did:plc:3r4yuw3fdkje3eadzp7gyyb3/app.bsky.feed.post/3lkh2puk4oc26,2025-03-15 21:23:47.430000 UTC,Ou une grippe,false,
at://did:plc:257rfprzo3q7hkyb7bqreygu/app.bsky.feed.post/3lkh23h7ylc2s,2025-03-15 21:12:22.378000 UTC,C'est la fièvre qui parle,false,fièvre
at://did:plc:3jlcvqaeiux3rv23tld3vxii/app.bsky.feed.post/3lkggh67w4k2a,2025-03-15 15:21:00.755000 UTC,Et ça se ressent pas encore vraiment en Europe mais la grippe aviaire est là aussi…,false,
at://did:plc:33s45vqluvh7pddgtc2ehqzj/app.bsky.feed.post/3lkeiq75sek2l,2025-03-14 20:56:31.731000 UTC,"Tu as de la chance moi l'école m'appelle régulièrement pour venir chercher en urgence mon fils malade parce ""qu'il a un peu de fièvre et qu'il est fatigué"". Ben écoutez, il peut peut être survivre jusqu'à 17h hein.",false,"fièvre,fatigué"
at://did:plc:23w52iqqcuqagkq75nponvvd/app.bsky.feed.post/3lkdv3u4r3ia2,2025-03-14 15:05:06.000000 UTC,"(5/5)
- Fondation Rockefeller subventionne recherches médicales sur la fièvre jaune -> vaccin.
- Décès de John D. Rockefeller senior.",false,fièvre jaune
at://did:plc:3rxinqtukczygynjowhtch7w/app.bsky.feed.post/3lk6ywcgalk2l,2025-03-12 16:30:17.916000 UTC,"On voit là clairement le lien entre la grippe et les gens qui disent ""chocolatine""",false,
at://did:plc:2hayv4txz4mtmum6j7hahcf6/app.bsky.feed.post/3lk3kolhik226,2025-03-11 07:37:27.360000 UTC,"J'ai la grippe/COVID/truc dans le genre !!
Rendez mon adolescence où malgré la fièvre j'étais capable de jouer à Guitar Hero svp là je suis au fond du trou",false,
