uri,record__created_at,record__text,ili_related,symptoms
at://did:plc:22bnwegfdulkpfhfgmfd23dw/app.bsky.feed.post/3lfptsz7hz22u,2025-01-14 18:08:16.301000 UTC,Coincé au lit avec 40 de fièvre j’ai regardé le discours de Bayrou. J’ai de la peine pour cet homme de l’ancien monde. Juste de la peine.,true,fever
at://did:plc:22otjjey7zktj3sakg4anp4k/app.bsky.feed.post/3le25p7krak2s,2024-12-24 09:41:20.291000 UTC,"Et bah ça faisait longtemps que j'avais pas fait de réveillon ou Noël solo alitée 🤒
Courbatures de partout, frisson et fièvre, mouchoir en continu, j'ai très peu dormi, la gerbe aussi, un bonheur @@
Je sais même pas comment je vais être en capacité de faire les 3h20 de train pour rentrer chez moi 🤒",true,"Courbatures de partout,frisson,fièvre,mouchoir en continu,la gerbe"
at://did:plc:22otjjey7zktj3sakg4anp4k/app.bsky.feed.post/3lea335ela227,2024-12-26 18:10:17.849000 UTC,"Super gâtée pour Noël : impossible de respirer, odorat et goûts partis, fièvre, acouphènes, lèvres totalement gercées, mal aux yeux, le pack complet de la grippe. 👍",true,"impossible de respirer,fièvre,mal aux yeux"
at://did:plc:22otjjey7zktj3sakg4anp4k/app.bsky.feed.post/3lea335ela227,2024-12-26 18:10:17.849000 UTC,"Super gâtée pour Noël : impossible de respirer, odorat et goûts partis, fièvre, acouphènes, lèvres totalement gercées, mal aux yeux, le pack complet de la grippe. 👍",true,"impossible de respirer,fièvre,mal aux yeux"
at://did:plc:23kry6nqcgccmmjlgq5wztku/app.bsky.feed.post/3kbwrfthcjj2u,2023-10-17 09:06:46.007000 UTC,"💉 Vaccin covid 5/5 ✅

💉 Vaccin grippe saisonnière ✅

J’attends maintenant la grosse fièvre, comme à chaque fois avec la grippe. 🤒",true,fièvre
at://did:plc:23kry6nqcgccmmjlgq5wztku/app.bsky.feed.post/3kbwrfthcjj2u,2023-10-17 09:06:46.007000 UTC,"💉 Vaccin covid 5/5 ✅

💉 Vaccin grippe saisonnière ✅

J’attends maintenant la grosse fièvre, comme à chaque fois avec la grippe. 🤒",true,fièvre
at://did:plc:24mlxzobi4zd2naqjhboutof/app.bsky.feed.post/3k7stuujdb32p,2023-09-20 08:49:55.612000 UTC,"Les lymphocytes binucléés, c’est connu et pas si rare, mais avez-vous déjà vu… un lymphocyte trinucléé ?

Homme de 24 ans, fatigue, fièvre… et pas palu ! (Même si demandé sur motif d’un voyage à Madagascar il y a 12 ans 😅)",true,"fatigue,fièvre"
at://did:plc:24mlxzobi4zd2naqjhboutof/app.bsky.feed.post/3lcn2amdgvc2k,2024-12-06 11:09:40.912000 UTC,"Enfant 6 ans, fatigue, 38°C, toux depuis 1 mois et demi 😱
A eu amox : sans effet 
À eu radio : RAS (poke @ledoc.bsky.social 😉)
A eu Ventoline + Pulmiicort (😱) : respire mieux mais tousse et fièvre ++

Diag ce matin. Appel à la maman « j’ai une ordo d’azithro, je peux ? » OUI !!",true,"fatigue,toux,fièvre"
at://did:plc:24z7x7jwuf2l53g4xgrfsb2h/app.bsky.feed.post/3leqpuewyus22,2025-01-02 09:04:55.303000 UTC,"25/12 : la tête dans la cuvette
01/01 : grippe 39,5ºC au réveil.

🎉🥳",true,"grippe,fever"
at://did:plc:257rfprzo3q7hkyb7bqreygu/app.bsky.feed.post/3kuhwjzhnee2i,2024-06-09 06:27:21.051000 UTC,"Au début, c'est assez banal: nez qui coule, éternuements, fièvre 
Puis la toux arrive. Mais pas n'importe laquelle. Celle qui vous fait prendre une grande inspiration pour expulser la gêne. Sauf qu'avec la coqueluche ça ne sort pas",true,"nez qui coule,éternuements,fièvre,toux"
at://did:plc:25rbw27sri6k6r7veaxtzuap/app.bsky.feed.post/3lh6hstrk6k2j,2025-02-02 07:08:33.401000 UTC,Il était temps d'inaugurer la nouvelle version de fonsbandusiae.fr et de remercier @joachimsene.fr pour son précieux travail sur le site. Du nouveau est en préparation. Mais c'est aussi le moment choisi par la grippe pour me tomber dessus. Attendre donc encore un peu.,true,grippe
at://did:plc:263er2r7kzie2evn42cgptyl/app.bsky.feed.post/3kb5ukmp7ek2x,2023-10-07 11:26:34.955000 UTC,"Une belle grippe ou un beau covid à la maison. On est HS +++ avec fièvre, courbatures, migraine etc.

Le week-end va être compliqué... En espérant être rétabli avant lundi 😱",true,"fièvre,courbatures,migraine"
at://did:plc:263er2r7kzie2evn42cgptyl/app.bsky.feed.post/3kb5ukmp7ek2x,2023-10-07 11:26:34.955000 UTC,"Une belle grippe ou un beau covid à la maison. On est HS +++ avec fièvre, courbatures, migraine etc.

Le week-end va être compliqué... En espérant être rétabli avant lundi 😱",true,"fièvre,courbatures,migraine"
